,Player,Pos,Squad,Age,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,FK,PassCmp,PassAttm,TotalPassDist,PrgPassDist,ShortCmp,ShortAttm,MedCmp,MedAttm,LongCmp,LongAttm,KeyPasses,FinalThirdPass,PenPass,CrsPA,PrgPassNum,Live,Dead,ThroughBalls,PassUnderPressure,SwitchingPass,Cross,GroundPass,LowPass,HighPass,InterceptedPass,SCA,GCA,Tkl,TklW,TklDef,TklMid,TklAtt,DribTkl,DrbTklAttm,NumPressed,SuccPress,PressDef,PressMid,PressAtt,TotalBlocks,ShotsBlocked,PassesBlocked,PassesIntercepted,Clearances,TouchesDefPen,TouchesDef,TouchesMid,TouchesAtt,TouchesAttPen,LiveTouches,SuccDrib,AttmDrib,PlayersDrib,Nutmegs,Carries,DistCarried,PrgDistCarried,TargetOfPass,PassesRecvd,Miscontrols,Disposessed,Fouls,Recoveries,AerialsWon,AerialsLost
0,Antonio Adán,GK,Atlético Madrid,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,121.0,98.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
1,Aritz Aduriz,FW,Athletic Club,38.0,208.0,1.0,0.0,1.3,0.6,0.0,6.0,3.0,0.0,33.0,57.0,428.0,88.0,0.0,1.0,32.0,48.0,1.0,8.0,0.0,3.0,0.0,0.0,3.0,57.0,0.0,0.0,22.0,2.0,0.0,21.0,16.0,20.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,4.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,39.0,39.0,11.0,81.0,2.0,2.0,2.0,0.0,33.0,147.0,46.0,117.0,64.0,4.0,2.0,7.0,7.0,20.0,6.0
2,Lumor Agbenyenu,DF,Mallorca,22.0,1805.0,1.0,0.0,0.3,0.3,1.9,14.0,2.0,0.0,709.0,969.0,12415.0,6166.0,11.0,49.0,586.0,715.0,112.0,205.0,16.0,47.0,21.0,12.0,141.0,747.0,222.0,1.0,164.0,24.0,78.0,497.0,248.0,224.0,18.0,33.0,0.0,35.0,23.0,24.0,8.0,3.0,18.0,35.0,225.0,66.0,129.0,70.0,26.0,37.0,1.0,36.0,25.0,62.0,82.0,387.0,537.0,333.0,14.0,964.0,26.0,45.0,30.0,0.0,701.0,4849.0,2641.0,665.0,599.0,22.0,18.0,13.0,205.0,14.0,15.0
3,Martin Agirregabiria,DF,Alavés,23.0,2099.0,1.0,1.0,0.9,0.9,1.0,3.0,1.0,0.0,722.0,1014.0,12629.0,6069.0,9.0,49.0,605.0,726.0,108.0,239.0,12.0,36.0,14.0,5.0,123.0,765.0,249.0,1.0,161.0,22.0,33.0,484.0,234.0,296.0,17.0,23.0,3.0,50.0,22.0,24.0,21.0,5.0,25.0,50.0,248.0,60.0,118.0,106.0,24.0,39.0,8.0,31.0,18.0,68.0,83.0,395.0,675.0,223.0,9.0,986.0,14.0,26.0,16.0,3.0,636.0,3313.0,1909.0,677.0,608.0,20.0,17.0,32.0,207.0,23.0,20.0
4,Joseph Aidoo,DF,Celta Vigo,23.0,2502.0,0.0,1.0,0.8,0.8,0.8,10.0,1.0,0.0,1073.0,1223.0,23981.0,6712.0,6.0,23.0,688.0,752.0,379.0,448.0,2.0,61.0,2.0,0.0,64.0,1177.0,46.0,1.0,169.0,31.0,1.0,954.0,105.0,164.0,6.0,13.0,2.0,40.0,26.0,28.0,11.0,1.0,8.0,28.0,304.0,108.0,218.0,79.0,7.0,42.0,16.0,26.0,46.0,162.0,213.0,835.0,711.0,50.0,11.0,1475.0,11.0,15.0,12.0,0.0,962.0,5392.0,2312.0,954.0,934.0,5.0,8.0,17.0,248.0,59.0,50.0
5,Jordi Alba,DF,Barcelona,30.0,2187.0,2.0,5.0,1.1,1.1,3.3,7.0,3.0,0.0,1864.0,2141.0,30213.0,9511.0,35.0,86.0,1600.0,1742.0,229.0,313.0,28.0,126.0,38.0,18.0,177.0,1940.0,201.0,1.0,173.0,31.0,65.0,1526.0,365.0,250.0,30.0,45.0,5.0,25.0,14.0,10.0,9.0,6.0,8.0,30.0,231.0,68.0,89.0,95.0,47.0,40.0,5.0,35.0,38.0,42.0,76.0,475.0,1119.0,831.0,65.0,2125.0,10.0,19.0,12.0,2.0,1617.0,6405.0,3327.0,1907.0,1762.0,10.0,7.0,18.0,211.0,10.0,14.0
6,Raúl Albiol,DF,Villarreal,33.0,3237.0,1.0,0.0,1.4,1.4,0.4,14.0,4.0,0.0,1619.0,1882.0,41783.0,12195.0,6.0,16.0,821.0,898.0,792.0,968.0,5.0,96.0,5.0,1.0,82.0,1830.0,52.0,1.0,198.0,120.0,3.0,1285.0,223.0,374.0,15.0,16.0,1.0,50.0,33.0,31.0,18.0,1.0,18.0,33.0,278.0,85.0,172.0,102.0,4.0,40.0,21.0,19.0,43.0,254.0,403.0,1368.0,969.0,51.0,21.0,2209.0,3.0,3.0,3.0,0.0,1325.0,7874.0,4484.0,1509.0,1492.0,1.0,1.0,30.0,338.0,78.0,41.0
7,Paco Alcácer,FW,Villarreal,25.0,924.0,4.0,1.0,3.2,3.2,1.6,25.0,8.0,1.0,181.0,230.0,2575.0,372.0,6.0,14.0,156.0,183.0,19.0,33.0,9.0,6.0,6.0,0.0,9.0,206.0,24.0,2.0,42.0,0.0,1.0,143.0,54.0,33.0,2.0,16.0,3.0,4.0,2.0,2.0,2.0,0.0,1.0,12.0,146.0,43.0,18.0,67.0,61.0,10.0,2.0,8.0,2.0,9.0,9.0,28.0,149.0,148.0,46.0,291.0,4.0,8.0,4.0,1.0,171.0,782.0,415.0,389.0,221.0,17.0,7.0,4.0,40.0,8.0,18.0
8,Rubén Alcaraz,MF,Valladolid,28.0,1927.0,2.0,2.0,1.7,1.7,0.8,33.0,8.0,9.0,831.0,1059.0,19154.0,4979.0,11.0,39.0,544.0,616.0,276.0,404.0,14.0,95.0,4.0,1.0,104.0,951.0,108.0,2.0,202.0,93.0,28.0,613.0,171.0,275.0,16.0,44.0,4.0,59.0,36.0,34.0,20.0,5.0,23.0,61.0,444.0,130.0,184.0,232.0,28.0,57.0,20.0,37.0,15.0,68.0,77.0,349.0,890.0,170.0,15.0,1236.0,21.0,29.0,21.0,1.0,828.0,4731.0,2457.0,811.0,743.0,14.0,14.0,37.0,283.0,43.0,43.0
9,Álex Alegría,FW,Mallorca,26.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,329.0,41.0,2.0,3.0,18.0,28.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,14.0,1.0,1.0,13.0,10.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,6.0,1.0,8.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,27.0,22.0,4.0,49.0,1.0,2.0,1.0,0.0,21.0,166.0,80.0,68.0,40.0,5.0,2.0,5.0,5.0,11.0,9.0
