,Player,Pos,Squad,Age,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,FK,PassCmp,PassAttm,TotalPassDist,PrgPassDist,ShortCmp,ShortAttm,MedCmp,MedAttm,LongCmp,LongAttm,KeyPasses,FinalThirdPass,PenPass,CrsPA,PrgPassNum,Live,Dead,ThroughBalls,PassUnderPressure,SwitchingPass,Cross,GroundPass,LowPass,HighPass,InterceptedPass,SCA,GCA,Tkl,TklW,TklDef,TklMid,TklAtt,DribTkl,DrbTklAttm,NumPressed,SuccPress,PressDef,PressMid,PressAtt,TotalBlocks,ShotsBlocked,PassesBlocked,PassesIntercepted,Clearances,TouchesDefPen,TouchesDef,TouchesMid,TouchesAtt,TouchesAttPen,LiveTouches,SuccDrib,AttmDrib,PlayersDrib,Nutmegs,Carries,DistCarried,PrgDistCarried,TargetOfPass,PassesRecvd,Miscontrols,Disposessed,Fouls,Recoveries,AerialsWon,AerialsLost
0,Patrick van Aanholt,DF,Crystal Palace,28.0,2507.0,3.0,2.0,2.4,1.6,3.1,26.0,5.0,3.0,1227.0,1558.0,21238.0,9268.0,16.0,56.0,1018.0,1172.0,193.0,330.0,32.0,85.0,25.0,5.0,216.0,1175.0,383.0,0.0,222.0,35.0,88.0,930.0,322.0,306.0,36.0,62.0,5.0,51.0,32.0,33.0,16.0,2.0,22.0,54.0,267.0,74.0,159.0,71.0,37.0,57.0,13.0,44.0,46.0,67.0,95.0,529.0,883.0,532.0,51.0,1458.0,18.0,36.0,18.0,2.0,1000.0,5651.0,3130.0,1079.0,994.0,21.0,16.0,9.0,243.0,12.0,17.0
1,Max Aarons,DF,Norwich City,19.0,3240.0,0.0,1.0,0.5,0.5,3.4,14.0,4.0,0.0,1316.0,1684.0,20283.0,6833.0,32.0,96.0,1135.0,1315.0,149.0,273.0,24.0,44.0,32.0,13.0,123.0,1356.0,328.0,1.0,291.0,10.0,72.0,1018.0,391.0,275.0,22.0,54.0,3.0,64.0,36.0,40.0,17.0,7.0,21.0,45.0,485.0,132.0,281.0,142.0,62.0,100.0,30.0,70.0,35.0,86.0,178.0,803.0,903.0,594.0,52.0,1821.0,49.0,94.0,55.0,2.0,1321.0,9483.0,5431.0,1399.0,1244.0,39.0,48.0,29.0,281.0,23.0,42.0
2,Tammy Abraham,FW,Chelsea,21.0,2215.0,15.0,3.0,14.5,14.5,2.6,88.0,35.0,0.0,288.0,412.0,4211.0,813.0,26.0,54.0,223.0,305.0,39.0,53.0,18.0,16.0,5.0,0.0,32.0,360.0,52.0,0.0,149.0,5.0,10.0,259.0,81.0,72.0,8.0,47.0,10.0,14.0,10.0,4.0,5.0,5.0,4.0,16.0,430.0,130.0,19.0,169.0,242.0,23.0,5.0,18.0,5.0,26.0,31.0,59.0,354.0,352.0,165.0,688.0,21.0,36.0,22.0,0.0,427.0,2315.0,1159.0,1076.0,495.0,71.0,47.0,17.0,95.0,67.0,111.0
3,Che Adams,FW,Southampton,23.0,1111.0,4.0,2.0,4.2,4.2,1.3,37.0,9.0,0.0,184.0,265.0,2932.0,632.0,10.0,26.0,150.0,196.0,24.0,43.0,11.0,12.0,3.0,0.0,21.0,257.0,8.0,3.0,73.0,8.0,14.0,160.0,67.0,38.0,8.0,24.0,5.0,8.0,6.0,2.0,4.0,2.0,0.0,5.0,231.0,58.0,9.0,97.0,125.0,10.0,1.0,9.0,2.0,10.0,10.0,35.0,203.0,235.0,68.0,433.0,15.0,27.0,15.0,1.0,308.0,1837.0,841.0,657.0,315.0,44.0,29.0,17.0,73.0,29.0,86.0
4,Adrián,GK,Liverpool,32.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,314.0,6825.0,3820.0,2.0,4.0,107.0,108.0,118.0,202.0,0.0,3.0,0.0,0.0,0.0,219.0,95.0,0.0,40.0,12.0,0.0,150.0,24.0,140.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,338.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,163.0,638.0,356.0,155.0,154.0,0.0,0.0,0.0,47.0,0.0,0.0
5,Sergio Agüero,FW,Manchester City,31.0,1452.0,16.0,3.0,13.8,11.5,2.4,73.0,25.0,0.0,284.0,367.0,3736.0,781.0,17.0,38.0,249.0,306.0,18.0,23.0,16.0,12.0,20.0,0.0,33.0,349.0,18.0,5.0,90.0,1.0,10.0,273.0,71.0,23.0,11.0,51.0,8.0,7.0,5.0,0.0,4.0,3.0,1.0,6.0,222.0,56.0,13.0,74.0,135.0,15.0,2.0,13.0,3.0,3.0,2.0,21.0,207.0,386.0,154.0,551.0,27.0,45.0,28.0,2.0,428.0,2539.0,1396.0,780.0,450.0,24.0,41.0,9.0,61.0,2.0,14.0
6,Albian Ajeti,"MF,FW",West Ham,22.0,139.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,0.0,15.0,18.0,152.0,8.0,1.0,1.0,14.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,5.0,0.0,0.0,6.0,8.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,1.0,3.0,6.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,24.0,9.0,32.0,0.0,0.0,0.0,0.0,16.0,75.0,16.0,64.0,24.0,5.0,3.0,6.0,4.0,1.0,9.0
7,Nathan Aké,DF,Bournemouth,24.0,2503.0,2.0,2.0,2.5,2.5,0.5,24.0,7.0,0.0,1042.0,1183.0,21680.0,7019.0,9.0,20.0,725.0,787.0,308.0,376.0,4.0,67.0,10.0,0.0,61.0,1130.0,53.0,1.0,150.0,15.0,4.0,852.0,134.0,197.0,5.0,13.0,2.0,25.0,11.0,20.0,5.0,0.0,7.0,24.0,222.0,66.0,146.0,66.0,10.0,59.0,30.0,29.0,33.0,176.0,278.0,920.0,596.0,86.0,34.0,1455.0,5.0,5.0,5.0,0.0,845.0,5266.0,2910.0,948.0,900.0,7.0,5.0,9.0,247.0,64.0,58.0
8,Marc Albrighton,"MF,DF",Leicester City,29.0,867.0,0.0,3.0,0.6,0.6,1.9,10.0,2.0,0.0,344.0,508.0,6187.0,2445.0,6.0,32.0,271.0,330.0,67.0,146.0,18.0,31.0,20.0,9.0,65.0,473.0,35.0,1.0,81.0,25.0,68.0,292.0,82.0,134.0,9.0,26.0,5.0,23.0,11.0,11.0,11.0,1.0,7.0,29.0,192.0,66.0,46.0,95.0,51.0,18.0,1.0,17.0,8.0,6.0,13.0,111.0,258.0,295.0,23.0,587.0,10.0,29.0,13.0,2.0,420.0,2558.0,1176.0,495.0,429.0,9.0,12.0,8.0,90.0,2.0,5.0
9,Toby Alderweireld,DF,Tottenham,30.0,2957.0,2.0,2.0,1.1,1.1,1.1,16.0,5.0,0.0,1567.0,1895.0,37306.0,9753.0,10.0,26.0,968.0,1040.0,589.0,829.0,11.0,131.0,17.0,1.0,89.0,1814.0,81.0,6.0,205.0,65.0,8.0,1238.0,190.0,467.0,9.0,19.0,2.0,44.0,24.0,24.0,17.0,3.0,14.0,36.0,258.0,83.0,169.0,79.0,10.0,69.0,34.0,35.0,26.0,229.0,353.0,1224.0,1038.0,114.0,22.0,2185.0,0.0,2.0,0.0,0.0,1362.0,6528.0,3056.0,1535.0,1500.0,3.0,2.0,18.0,322.0,76.0,54.0
