,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1227,1558,78.8,21238,9268,16,56,28.6,1018,1172,86.9,193,330,58.5,2,3.1,-1.1,32,85,25,5,216,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,1316,1684,78.1,20283,6833,32,96,33.3,1135,1315,86.3,149,273,54.6,1,3.4,-2.4,24,44,32,13,123,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,288,412,69.9,4211,813,26,54,48.1,223,305,73.1,39,53,73.6,3,2.6,+0.4,18,16,5,0,32,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,184,265,69.4,2932,632,10,26,38.5,150,196,76.5,24,43,55.8,2,1.3,+0.7,11,12,3,0,21,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,227,314,72.3,6825,3820,2,4,50.0,107,108,99.1,118,202,58.4,0,0.0,0.0,0,3,0,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,284,367,77.4,3736,781,17,38,44.7,249,306,81.4,18,23,78.3,3,2.4,+0.6,16,12,20,0,33,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,15,18,83.3,152,8,1,1,100.0,14,17,82.4,0,0,,0,0.1,-0.1,2,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,1042,1183,88.1,21680,7019,9,20,45.0,725,787,92.1,308,376,81.9,2,0.5,+1.5,4,67,10,0,61,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,344,508,67.7,6187,2445,6,32,18.8,271,330,82.1,67,146,45.9,3,1.9,+1.1,18,31,20,9,65,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,1567,1895,82.7,37306,9753,10,26,38.5,968,1040,93.1,589,829,71.0,2,1.1,+0.9,11,131,17,1,89,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,2254,3147,71.6,49809,19995,33,120,27.5,1558,1821,85.6,663,1206,55.0,13,9.7,+3.3,85,202,90,30,459,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,794,925,85.8,22277,12306,2,2,100.0,407,410,99.3,385,513,75.0,1,0.4,+0.6,2,7,1,0,1,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,621,805,77.1,10289,2384,15,59,25.4,496,584,84.9,110,162,67.9,4,2.0,+2.0,22,41,24,0,67,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,682,894,76.3,10800,2575,22,64,34.4,563,663,84.9,97,167,58.1,2,1.4,+0.6,27,40,24,4,73,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,916,1108,82.7,16216,4961,12,38,31.6,756,850,88.9,148,220,67.3,2,2.0,0.0,26,34,29,14,115,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,564,664,84.9,8969,2604,11,28,39.3,492,553,89.0,61,83,73.5,0,0.7,-0.7,13,33,16,2,64,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,310,361,85.9,6360,1790,2,6,33.3,219,244,89.8,89,111,80.2,0,0.0,0.0,1,14,1,0,11,Matches
