,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1839,95,529,883,532,51,1458,18,36,50.0,18,2,1000,5651,3130,1079,994,92.1,21,16,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,2133,178,803,903,594,52,1821,49,94,52.1,55,2,1321,9483,5431,1399,1244,88.9,39,48,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,739,31,59,354,352,165,688,21,36,58.3,22,0,427,2315,1159,1076,495,46.0,71,47,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,441,10,35,203,235,68,433,15,27,55.6,15,1,308,1837,841,657,315,47.9,44,29,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,338,300,338,0,0,0,244,0,0,,0,0,163,638,356,155,154,99.4,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,572,2,21,207,386,154,551,27,45,60.0,28,2,428,2539,1396,780,450,57.7,24,41,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,75,16,64,24,37.5,5,3,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,1508,278,920,596,86,34,1455,5,5,100.0,5,0,845,5266,2910,948,900,94.9,7,5,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,622,13,111,258,295,23,587,10,29,34.5,13,2,420,2558,1176,495,429,86.7,9,12,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,2265,353,1224,1038,114,22,2185,0,2,0.0,0,0,1362,6528,3056,1535,1500,97.7,3,2,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,3520,105,848,1641,1246,63,2865,26,56,46.4,30,4,2108,9334,5698,2363,2230,94.4,36,22,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,984,804,976,9,0,0,760,0,0,,0,0,549,2115,1090,494,490,99.2,1,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,1132,37,171,575,471,96,1076,32,63,50.8,36,7,747,4583,2502,1102,773,70.1,45,56,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,1309,44,314,553,602,90,1297,46,93,49.5,54,5,975,9236,5220,1281,894,69.8,60,54,Matches
