,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,3,26,5,19.2,0.93,0.18,0.08,0.40,3,1,1,2.3,1.6,0.06,+0.7,+0.4,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,0,14,4,28.6,0.39,0.11,0.00,0.00,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,0,0,0,14.5,14.5,0.17,+0.5,+0.5,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,4,37,9,24.3,3.00,0.73,0.11,0.44,0,0,0,4.2,4.2,0.11,-0.2,-0.2,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,16,73,25,34.2,4.52,1.55,0.19,0.56,0,2,3,13.8,11.5,0.16,+2.2,+2.5,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,0,3,0,0.0,1.94,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,2,24,7,29.2,0.86,0.25,0.08,0.29,0,0,0,2.5,2.5,0.10,-0.5,-0.5,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,0,10,2,20.0,1.04,0.21,0.00,0.00,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
