,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,62,2.23,32,23,3,2,2,5,0.18,3,1,1,0,0,0,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,54,1.50,42,2,3,3,4,3,0.08,1,1,0,0,1,0,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,47,1.91,33,0,6,6,2,10,0.41,4,0,3,2,1,0,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,24,1.94,15,0,3,2,4,5,0.41,2,0,1,0,2,0,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,2,0.21,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,51,3.16,28,0,9,9,5,8,0.50,4,0,1,2,1,0,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,2,1.29,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,13,0.47,7,0,1,4,1,2,0.07,1,0,0,1,0,0,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,26,2.70,22,2,1,1,0,5,0.52,5,0,0,0,0,0,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,19,0.58,18,0,0,1,0,2,0.06,2,0,0,0,0,0,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,151,4.28,91,50,3,5,1,24,0.68,14,7,0,2,0,1,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,4,0.14,4,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,53,2.58,39,1,9,2,2,12,0.58,5,0,5,2,0,0,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,77,2.29,58,0,7,5,7,2,0.06,2,0,0,0,0,0,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,47,2.96,36,5,1,2,3,6,0.38,4,0,0,0,2,0,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,30,2.27,22,0,5,2,1,1,0.08,0,0,0,0,1,0,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,1,0.12,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
