,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,0,0,0,9,8,2,88,46,32,0,0,1,243,12,17,41.4,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,7,0,0,29,49,3,72,35,36,1,0,0,281,23,42,35.4,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,2,0,0,17,24,23,10,5,10,1,0,1,95,67,111,37.6,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,0,0,0,17,16,10,14,2,6,1,0,0,73,29,86,25.2,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0,,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,1,0,0,9,9,6,10,3,5,2,0,0,61,2,14,12.5,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10.0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,2,0,0,9,13,3,4,33,11,0,0,0,247,64,58,52.5,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,2,0,0,8,11,1,68,8,11,0,1,0,90,2,5,28.6,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,7,0,0,18,4,1,8,26,24,0,0,1,322,76,54,58.5,Matches
